X;Y;T;ageshr19;ageshr60;buyuk;hischshr1520m;i89;lpop1994;merkezi;merkezp;partycount;prov;prov_num;sexr;shhs;subbuyuk;vshr_islam1994;x
-35.606632;22.962963;0;.4220857;.075067423;0;.37931034;0;7.9969902;1;0;6;Adana;Adana;.97748148;4.6703987;0;.01544838;-35.167011
-54.347824;25.438599;0;.44098788;.063405365;0;.30890054;0;7.3626451;0;0;4;Adana;Adana;1.1203424;6.8139157;0;.025135869;-51.228374
-20.409229;22.682732;0;.43547681;.055399705;1;.22628401;0;13.175261;1;0;14;Adana;Adana;.97462541;4.3892999;0;.11111498;-21.569757
-44.972065;15.853659;0;.43867549;.066490069;0;.17117117;0;7.6231532;0;0;6;Adana;Adana;1.0252146;5.5109491;0;.055865921;-42.376759
-20.114943;18.238993;0;.41810668;.054470323;0;.17313433;0;7.6477861;0;0;7;Adana;Adana;1.1810733;6.2341919;0;.10188088;-23.86108
-50.589966;25;0;.40530583;.069638908;0;.265625;;7.3125534;0;0;5;Adana;Adana;1.0178438;6.0044246;0;.005899705;-49.120472
-20.688524;15.482444;0;.48166701;.056969486;0;.16718183;0;10.72093;1;0;12;Adana;Adana;1.0213673;5.079607;0;.080576055;-19.740393
-51.353569;26.44628;0;.46993488;.089237839;0;.2857143;0;7.1808314;0;0;5;Adana;Adana;1.0904723;5.190855;0;.0065627564;-41.734306
-51.870327;16.949154;0;.4004612;.11375865;0;.22413793;;6.7440591;0;0;4;Adana;Adana;.97720367;4.8726592;0;.0024937657;-52.360924
-43.010754;36.91275;0;.36310273;.096855342;0;.32846716;0;7.145196;0;0;6;Adana;Adana;1.0229008;6.737288;0;.020609319;-39.672459
-48.535393;26.162792;0;.43940887;.079999998;0;.27837837;0;7.9013772;0;0;6;Adana;Adana;1.0722744;5.9917355;0;.0073230267;-46.124664
-57.770802;18.848167;0;.37569678;.093645483;0;.17714286;0;7.2435131;0;0;6;Adana;Adana;.96280086;5.7012711;0;.0070643644;-52.2187
-31.963085;23.966942;0;.38170889;.048089311;0;.24427481;;7.1921821;0;0;6;Adana;Adana;1.1327839;5.5059104;0;.0033557047;-38.531139
-30.006929;34.751774;0;.39702073;.10600173;0;.22600619;0;8.0330095;1;0;8;Adana;Adana;1.0687807;4.4240689;0;.039154541;-28.737629
-22.618391;18.527792;0;.50670433;.041606415;0;.19933555;0;9.2349358;1;0;8;Adana;Adana;1.048196;5.3363733;0;.10994591;-25.105639
